the	/ðə/
well-prepared	/ˌwɛlprɪˈpɛrd/
phonetic	/fəˈnɛtɪk/
remodeling	/ˌriːˈmɑːdəlɪŋ/
vocally	/ˈvoʊkəli/
warble	/ˈwɔːrbəl/
disbursement	/dɪsˈbɜːrsmənt/
pharmacological	/ˌfɑːrməkəˈlɑːdʒɪkəl/
stripped-down	/ˌstrɪptˈdaʊn/
flashbulb	/ˈflæʃˌbʌlb/
preserver	/prɪˈzɜːrvər/
unsurprisingly	/ˌʌnsərˈpraɪzɪŋli/
outback	/ˈaʊtˌbæk/
droopy	/ˈdruːpi/
gasket	/ˈɡæskɪt/
pyre	/ˈpaɪər/
v-shaped	/ˈviːˈʃeɪpt/
figuration	/ˌfɪɡjəˈreɪʃən/
out-group	/ˈaʊtˌɡruːp/
winningest	/ˈwɪnɪŋɪst/
yin	/jɪn/
unreality	/ˌʌnriˈælɪti/
thermodynamics	/ˌθɜːrmoʊdaɪˈnæmɪks/
unearned	/ˌʌnˈɜːrnd/
timeliness	/ˈtaɪmlɪnəs/
emitter	/ɪˈmɪtər/
depression-era	/dɪˈprɛʃən ˈɪrə/
favela	/fəˈvɛlə/
insufferable	/ɪnˈsʌfərəbəl/
well-drained	/ˌwɛlˈdreɪnd/
mimesis	/maɪˈmiːsɪs/
seepage	/ˈsiːpɪdʒ/
liquefy	/ˈlɪkwɪˌfaɪ/
trinity	/ˈtrɪnəti/
wakefulness	/ˈweɪkfəlnəs/
big-money	/ˌbɪɡˈmʌni/
cheesecloth	/ˈtʃiːzˌklɔːθ/
divan	/dɪˈvæn/
contemptuously	/kənˈtɛmptʃuəsli/
affirmative-action	/əˌfɜːrmətɪvˈækʃən/
asynchronous	/eɪˈsɪŋkrənəs/
grinch	/ɡrɪntʃ/
rectitude	/ˈrɛktɪˌtjuːd/
banning	/ˈbænɪŋ/
pylorus	/paɪˈlɔːrəs/
comic-book	/ˌkɑːmɪkˈbʊk/
integer	/ˈɪntɪdʒər/
sold	/soʊld/
institutionally	/ˌɪnstɪˈtuːʃənəli/
civilizing	/ˈsɪvəˌlaɪzɪŋ/
voyeurism	/ˈvɔɪərɪzəm/
dreadfully	/ˈdrɛdfəli/
bridegroom	/ˈbraɪdˌɡruːm/
gluten	/ˈɡluːtən/
mutuality	/ˌmjuːtʃuˈælɪti/
ballpoint	/ˈbɔːlˌpɔɪnt/
chump	/tʃʌmp/
kevlar	/ˈkɛvlɑːr/
privation	/praɪˈveɪʃən/
no-win	/ˌnoʊˈwɪn/
antifreeze	/ˌæntiˈfriːz/
meritorious	/ˌmɛrɪˈtɔːriəs/
quilter	/ˈkwɪltər/
silver-haired	/ˌsɪlvərˈhɛrd/
repulsion	/rɪˈpʌlʃən/
reforestation	/ˌriːˌfɔːrɪˈsteɪʃən/
murk	/mɜːrk/
self-assurance	/ˌsɛlf əˈʃʊrəns/
tongue-in-cheek	/ˌtʌŋɪnˈtʃiːk/
risen	/ˈrɪzən/
capitalistic	/ˌkæpɪtəˈlɪstɪk/
hunter-gatherer	/ˌhʌntərˈɡæðərər/
americanized	/əˈmɛrɪkəˌnaɪzd/
mmmm	/mː/
amalgamation	/əˌmælɡəˈmeɪʃən/
whitish	/ˈwaɪtɪʃ/
sing-along	/ˈsɪŋəˌlɔːŋ/
neoliberalism	/ˌniːoʊˈlɪbərəlɪzəm/
informality	/ˌɪnfɔːrˈmælɪti/
hilarity	/hɪˈlærəti/
bristly	/ˈbrɪstli/
classicism	/ˈklæsɪˌsɪzəm/
inhumanity	/ˌɪnhjuːˈmænəti/
expo	/ˈɛkspoʊ/
affirmatively	/əˈfɜːrmətɪvli/
ten-minute	/ˌtɛnˈmɪnɪt/
playmaker	/ˈpleɪˌmeɪkər/
incapacity	/ˌɪnkəˈpæsəti/
decades-long	/ˈdɛkeɪdzˌlɔːŋ/
risk-free	/ˌrɪskˈfriː/
entomb	/ɪnˈtuːm/
arthropod	/ˈɑːrθrəˌpɑːd/
missus	/ˈmɪsɪz/
sourdough	/ˈsaʊərˌdoʊ/
high-water	/ˌhaɪˈwɔːtər/
weathering	/ˈwɛðərɪŋ/
riotous	/ˈraɪətəs/
injurious	/ɪnˈdʒʊriəs/
expropriation	/ˌɛksˌproʊpriˈeɪʃən/
mummified	/ˈmʌmɪˌfaɪd/
generically	/dʒəˈnɛrɪkli/
unperturbed	/ˌʌnpərˈtɜːrbd/
mockingbird	/ˈmɑːkɪŋˌbɜːrd/
radiograph	/ˈreɪdiəˌɡræf/
magisterial	/ˌmædʒɪˈstɪriəl/
pronghorn	/ˈprɔːŋˌhɔːrn/
ninety-eight	/ˌnaɪntiˈeɪt/
endgame	/ˈɛndˌɡeɪm/
secessionist	/sɪˈsɛʃənɪst/
circadian	/sɜːrˈkeɪdiən/
viscosity	/vɪˈskɑːsəti/
milkshake	/ˈmɪlkˌʃeɪk/
gutted	/ˈɡʌtɪd/
programmed	/ˈproʊˌɡræmd/
harangue	/həˈræŋ/
digress	/daɪˈɡrɛs/
olden	/ˈoʊldən/
lactic	/ˈlæktɪk/
symmetric	/sɪˈmɛtrɪk/
virile	/ˈvɪrəl/
restorer	/rɪˈstɔːrər/
finger-pointing	/ˈfɪŋɡərˌpɔɪntɪŋ/
desiccated	/ˈdɛsɪˌkeɪtɪd/
high-fiber	/ˌhaɪˈfaɪbər/
harlequin	/ˈhɑːrləkwɪn/
blue-black	/ˌbluːˈblæk/
thoughtfulness	/ˈθɔːtfəlnəs/
exaltation	/ˌɛɡzɔːlˈteɪʃən/
impolite	/ˌɪmpəˈlaɪt/
theatrically	/θiˈætrɪkli/
paunch	/pɔːntʃ/
maltese	/mɔːlˈtiːz/
bluefish	/ˈbluːˌfɪʃ/
tsar	/zɑːr/
deserved	/dɪˈzɜːrvd/
confounding	/kənˈfaʊndɪŋ/
siesta	/siˈɛstə/
pin-up	/ˈpɪnˌʌp/
feeler	/ˈfiːlər/
hell-bent	/ˌhɛlˈbɛnt/
consummation	/ˌkɑːnsəˈmeɪʃən/
rucksack	/ˈrʌkˌsæk/
unroll	/ˌʌnˈroʊl/
norse	/nɔːrs/
caregiving	/ˈkɛrˌɡɪvɪŋ/
untruth	/ˌʌnˈtruːθ/
debater	/dɪˈbeɪtər/
uncritically	/ˌʌnˈkrɪtɪkli/
sartorial	/sɑːrˈtɔːriəl/
ocular	/ˈɑːkjələr/
perplexity	/pərˈplɛksəti/
aborigine	/ˌæbəˈrɪdʒəni/
minority-owned	/məˌnɔːrətiˈoʊnd/
shoemaker	/ˈʃuːˌmeɪkər/
initiator	/ɪˈnɪʃiˌeɪtər/
remiss	/rɪˈmɪs/
confiscated	/ˈkɑːnfɪˌskeɪtɪd/
compacted	/kəmˈpæktɪd/
enquiry	/ɪnˈkwaɪəri/
aversive	/əˈvɜːrsɪv/
paean	/ˈpiːən/
near-perfect	/ˌnɪrˈpɜːrfɪkt/
gestalt	/ɡəˈʃtɑːlt/
galling	/ˈɡɔːlɪŋ/
supplication	/ˌsʌplɪˈkeɪʃən/
bracken	/ˈbrækən/
unregistered	/ˌʌnˈrɛdʒɪstərd/
foamy	/ˈfoʊmi/
sedimentary	/ˌsɛdəˈmɛntəri/
stepped-up	/ˌstɛptˈʌp/
mould	/moʊld/
agar	/ˈɑːɡɑːr/
tabulation	/ˌtæbjəˈleɪʃən/
embossed	/ɪmˈbɔːst/
dramatization	/ˌdræmətaɪˈzeɪʃən/
filmmaking	/ˈfɪlmˌmeɪkɪŋ/
bandy	/ˈbændi/
morel	/məˈrɛl/
uncomprehending	/ˌʌnkɑːmprɪˈhɛndɪŋ/
internalization	/ɪnˌtɜːrnələˈzeɪʃən/
lower-priced	/ˌloʊərˈpraɪst/
hangman	/ˈhæŋmən/
pyrotechnic	/ˌpaɪroʊˈtɛknɪk/
cookery	/ˈkʊkəri/
enabling	/ɪˈneɪbəlɪŋ/
bedchamber	/ˈbɛdˌtʃeɪmbər/
thankless	/ˈθæŋkləs/
cryogenic	/ˌkraɪoʊˈdʒɛnɪk/
misjudgment	/ˌmɪsˈdʒʌdʒmənt/
firebrand	/ˈfaɪərˌbrænd/
showmanship	/ˈʃoʊmənˌʃɪp/
lacquered	/ˈlækərd/
opportunism	/ˌɑːpərˈtuːnɪzəm/
arching	/ˈɑːrtʃɪŋ/
waif	/weɪf/
topology	/təˈpɑːlədʒi/
wide-brimmed	/ˌwaɪdˈbrɪmd/
wrangler	/ˈræŋɡlər/
schoolroom	/ˈskuːlˌruːm/
omitted	/oʊˈmɪtɪd/
empress	/ˈɛmprəs/
uncork	/ˌʌnˈkɔːrk/
beady	/ˈbiːdi/
kook	/kuːk/
romanesque	/ˌroʊməˈnɛsk/
underutilized	/ˌʌndərˈjuːtəˌlaɪzd/
underrate	/ˌʌndərˈreɪt/
decontamination	/ˌdiːˌkɑːntæmɪˈneɪʃən/
casein	/ˈkeɪsiːn/
public-sector	/ˌpʌblɪkˈsɛktər/
nth	/ɛnθ/
bozo	/ˈboʊzoʊ/
brimstone	/ˈbrɪmˌstoʊn/
nine-month	/ˌnaɪnˈmʌnθ/
alizarin	/əˈlɪzərɪn/
bloodstain	/ˈblʌdˌsteɪn/
homesteader	/ˈhoʊmˌstɛdər/
distributive	/dɪˈstrɪbjətɪv/
uncounted	/ˌʌnˈkaʊntɪd/
post-it	/ˈpoʊstˌɪt/
boathouse	/ˈboʊtˌhaʊs/
freedman	/ˈfriːdmən/
playpen	/ˈpleɪˌpɛn/
ineffectiveness	/ˌɪnɪˈfɛktɪvnəs/
reconfiguration	/ˌriːkənˌfɪɡəˈreɪʃən/
back-to-school	/ˌbæk tə ˈskuːl/
accusatory	/əˈkjuːzəˌtɔːri/
gallic	/ˈɡælɪk/
prurient	/ˈprʊriənt/
paperweight	/ˈpeɪpərˌweɪt/
howitzer	/ˈhaʊɪtsər/
plummeting	/ˈplʌmɪtɪŋ/
ungodly	/ʌnˈɡɑːdli/
tactful	/ˈtæktfəl/
insolvency	/ɪnˈsɑːlvənsi/
lean-to	/ˈliːnˌtuː/
side-effect	/ˈsaɪdɪˌfɛkt/
mechanization	/ˌmɛkənaɪˈzeɪʃən/
scintillating	/ˈsɪntɪˌleɪtɪŋ/
amplified	/ˈæmplɪˌfaɪd/
ringside	/ˈrɪŋˌsaɪd/
unloved	/ˌʌnˈlʌvd/
odorless	/ˈoʊdərləs/
polymerase	/ˈpɑːlɪməˌreɪz/
melodious	/məˈloʊdiəs/
streetwise	/ˈstriːtˌwaɪz/
indexing	/ˈɪnˌdɛksɪŋ/
arsonist	/ˈɑrsənɪst/
consenting	/kənˈsɛntɪŋ/
end-of-life	/ˌɛnd əv ˈlaɪf/
home-run	/ˈhoʊmˌrʌn/
uninhabitable	/ˌʌnɪnˈhæbɪtəbəl/
undying	/ʌnˈdaɪɪŋ/
landlocked	/ˈlændˌlɑkt/
caving	/ˈkeɪvɪŋ/
shorebird	/ˈʃɔrbɜrd/
inequitable	/ɪnˈɛkwɪtəbəl/
songbook	/ˈsɔŋˌbʊk/
unleaded	/ˌʌnˈlɛdɪd/
erudition	/ˌɛruˈdɪʃən/
misreading	/ˌmɪsˈriːdɪŋ/
beautify	/ˈbjuːtəˌfaɪ/
illegible	/ɪˈlɛdʒəbəl/
tomatillo	/ˌtoʊməˈtiːjoʊ/
showgirl	/ˈʃoʊˌɡɜrl/
boreal	/ˈbɔriəl/
structuralist	/ˈstrʌktʃərəlɪst/
postdoc	/ˈpoʊstˌdɑk/
prepackaged	/ˌpriˈpækɪdʒd/
computer-controlled	/kəmˌpjuːtər kənˈtroʊld/
drug-resistant	/ˈdrʌɡ rɪˈzɪstənt/
endothelial	/ˌɛndoʊˈθiːliəl/
sedation	/sɪˈdeɪʃən/
harmonization	/ˌhɑrmənɪˈzeɪʃən/
mixed-use	/ˌmɪkstˈjuːs/
airship	/ˈɛrˌʃɪp/
semicircular	/ˌsɛmiˈsɜrkjələr/
interlock	/ˌɪntərˈlɑk/
walk-on	/ˈwɔkˌɑn/
jackhammer	/ˈdʒækˌhæmər/
cleared	/ˈklɪrd/
palpitation	/ˌpælpɪˈteɪʃən/
cookout	/ˈkʊˌkaʊt/
parentage	/ˈpɛrəntɪdʒ/
five-time	/ˈfaɪvˌtaɪm/
digester	/daɪˈdʒɛstər/
scraggly	/ˈskræɡli/
spiteful	/ˈspaɪtfəl/
single-season	/ˈsɪŋɡəl ˈsiːzən/
ventricular	/vɛnˈtrɪkjələr/
impermissible	/ˌɪmpərˈmɪsəbəl/
armature	/ˈɑrmətʃər/
antiterrorism	/ˌæntiˈtɛrərɪzəm/
unelected	/ˌʌnɪˈlɛktɪd/
two-step	/ˈtuːˌstɛp/
lower-class	/ˌloʊərˈklæs/
hydraulics	/haɪˈdrɔlɪks/
parakeet	/ˈpɛrəˌkiːt/
stopgap	/ˈstɑpˌɡæp/
silencer	/ˈsaɪlənsər/
ennui	/ɑnˈwiː/
quartile	/ˈkwɔrtaɪl/
season-ticket	/ˈsiːzən ˈtɪkɪt/
unknowing	/ˌʌnˈnoʊɪŋ/
efface	/ɪˈfeɪs/
intelligibility	/ɪnˌtɛlɪdʒəˈbɪləti/
whiner	/ˈwaɪnər/
knickers	/ˈnɪkərz/
up-and-down	/ˌʌp ən ˈdaʊn/
empiricism	/ɛmˈpɪrɪsɪzəm/
plucky	/ˈplʌki/
mile-long	/ˈmaɪlˌlɔŋ/
ultra-orthodox	/ˌʌltrəˈɔrθəˌdɑks/
worrier	/ˈwɜriər/
interconnectedness	/ˌɪntərkəˈnɛktɪdnɛs/
coattails	/ˈkoʊtˌteɪlz/
peppery	/ˈpɛpəri/
good-hearted	/ˌɡʊdˈhɑrtɪd/
prosthetics	/prɑsˈθɛtɪks/
frizzy	/ˈfrɪzi/
aspirant	/ˈæspərənt/
nutritionally	/ˌnuːˈtrɪʃənəli/
fifty-nine	/ˈfɪftiˈnaɪn/
exorcist	/ˈɛksɔrsɪst/
softwood	/ˈsɔftˌwʊd/
gigabyte	/ˈɡɪɡəˌbaɪt/
cold-weather	/ˈkoʊldˌwɛðər/
desalination	/diˌsælɪˈneɪʃən/
laminate	/ˈlæmɪˌneɪt/
seventy-four	/ˈsɛvəntiˈfɔr/
quality-of-life	/ˈkwɑləti əv ˈlaɪf/
possessor	/pəˈzɛsər/
bleary-eyed	/ˈblɪriˈaɪd/
competently	/ˈkɑmpɪtəntli/
apocryphal	/əˈpɑkrəfəl/
damask	/ˈdæməsk/
creeper	/ˈkriːpər/
matchstick	/ˈmætʃˌstɪk/
occlusion	/əˈkluːʒən/
anatomic	/ˌænəˈtɑmɪk/
supranational	/ˌsuːprəˈnæʃənəl/
horticulturist	/ˌhɔrtɪˈkʌltʃərɪst/
sunburned	/ˈsʌnˌbɜrnd/
heart-healthy	/ˈhɑrtˈhɛlθi/
dependability	/dɪˌpɛndəˈbɪləti/
dilation	/daɪˈleɪʃən/
bird's-eye	/ˈbɜrdzˌaɪ/
incorporated	/ɪnˈkɔrpəˌreɪtɪd/
forcible	/ˈfɔrsəbəl/
stunner	/ˈstʌnər/
skinned	/ˈskɪnd/
overlord	/ˈoʊvərˌlɔrd/
quint	/ˈkwɪnt/
matted	/ˈmætɪd/
handball	/ˈhændˌbɔl/
repeater	/rɪˈpiːtər/
mongrel	/ˈmʌŋɡrəl/
allocated	/ˈæləˌkeɪtɪd/
fevered	/ˈfiːvərd/
gecko	/ˈɡɛkoʊ/
hideously	/ˈhɪdiəsli/
toothache	/ˈtuːθˌeɪk/
takeaway	/ˈteɪkəˌweɪ/
convolute	/ˈkɑnvəˌluːt/
naturalize	/ˈnætʃərəˌlaɪz/
polluting	/pəˈluːtɪŋ/
dollhouse	/ˈdɑlˌhaʊs/
kebab	/kəˈbɑb/
superlative	/suˈpɜrlətɪv/
eczema	/ˈɛksəmə/
front-row	/ˈfrʌntˌroʊ/
knell	/ˈnɛl/
small-cap	/ˈsmɔlˌkæp/
topaz	/ˈtoʊˌpæz/
high-ceilinged	/ˌhaɪˈsiːlɪŋd/
absolutism	/ˈæbsəˌluːtɪzəm/
egocentric	/ˌiːɡoʊˈsɛntrɪk/
intercession	/ˌɪntərˈsɛʃən/
well-kept	/ˌwɛlˈkɛpt/
longest-running	/ˌlɔŋɡɪstˈrʌnɪŋ/
incontrovertible	/ˌɪnkɑntrəˈvɜrtəbəl/
cancer-causing	/ˈkænsərˌkɔzɪŋ/
indentured	/ɪnˈdɛntʃərd/
irascible	/ɪˈræsəbəl/
echinacea	/ˌɛkɪˈneɪʃə/
commissioning	/kəˈmɪʃənɪŋ/
racial/ethnic	/ˈreɪʃəl ˈɛθnɪk/
home-equity	/ˈhoʊm ˈɛkwɪti/
barbarous	/ˈbɑrbərəs/
appetizing	/ˈæpɪˌtaɪzɪŋ/
recoverable	/rɪˈkʌvərəbəl/
confidentially	/ˌkɑnfɪˈdɛnʃəli/
roundness	/ˈraʊndnəs/
telenovela	/ˌtɛlənoʊˈvɛlə/
pin-striped	/ˈpɪnˈstraɪpt/
babylonian	/ˌbæbɪˈloʊniən/
triumphal	/traɪˈʌmfəl/
suffocation	/ˌsʌfəˈkeɪʃən/
penne	/ˈpɛni/
wildebeest	/ˈwɪldəˌbiːst/
putrid	/ˈpjuːtrɪd/
untroubled	/ˌʌnˈtrʌbəld/
uncluttered	/ˌʌnˈklʌtərd/
neuromuscular	/ˌnʊroʊˈmʌskjələr/
top-seeded	/ˈtɑpˈsiːdɪd/
patristic	/pəˈtrɪstɪk/
cross-examine	/ˌkrɔsɪɡˈzæmɪn/
fetid	/ˈfɛtɪd/
blase	/blɑˈzeɪ/
batterer	/ˈbætərər/
japanese-american	/ˌdʒæpəˈniːz əˈmɛrɪkən/
equalization	/ˌiːkwələˈzeɪʃən/
epistemic	/ˌɛpɪˈstɛmɪk/
domestication	/dəˌmɛstɪˈkeɪʃən/
co-producer	/ˌkoʊprəˈduːsər/
odometer	/oʊˈdɑmɪtər/
beatific	/ˌbiːəˈtɪfɪk/
third-grader	/ˈθɜrdˌɡreɪdər/
binational	/ˌbaɪˈnæʃənəl/
reform-minded	/rɪˈfɔrm ˈmaɪndɪd/
reachable	/ˈriːtʃəbəl/
osmosis	/ɑzˈmoʊsɪs/
sonogram	/ˈsɑnəˌɡræm/
alternation	/ˌɔltərˈneɪʃən/
mournfully	/ˈmɔrnfəli/
eighty-two	/ˈeɪtiˈtuː/
profligate	/ˈprɑflɪˌɡeɪt/
vice-presidential	/ˌvaɪsˌprɛzɪˈdɛnʃəl/
unavoidably	/ˌʌnəˈvɔɪdəbli/
needlework	/ˈniːdlˌwɜrk/
robustness	/roʊˈbʌstnəs/
hospitalized	/ˈhɑspɪtəˌlaɪzd/
realpolitik	/reɪˌɑlˈpoʊlɪˌtiːk/
phlox	/ˈflɑks/
professionalization	/prəˌfɛʃənələˈzeɪʃən/
doormat	/ˈdɔrˌmæt/
zealously	/ˈzɛləsli/
sainthood	/ˈseɪntˌhʊd/
high-value	/ˈhaɪˈvæljuː/
tangent	/ˈtændʒənt/
aftershave	/ˈæftərˌʃeɪv/
well-traveled	/ˌwɛlˈtrævəld/
merlot	/mɜrˈloʊ/
put-down	/ˈpʊtˌdaʊn/
fibrillation	/ˌfaɪbrɪˈleɪʃən/
acoustical	/əˈkuːstɪkəl/
poly	/ˈpɑli/
latvian	/ˈlætviən/
draftsman	/ˈdræftsmən/
handoff	/ˈhændˌɔf/
apace	/əˈpeɪs/
congratulatory	/kənˌɡrætʃəˈleɪtəri/
poof	/puːf/
ergonomics	/ˌɜrɡəˈnɑmɪks/
interferon	/ˌɪntərˈfɪrɑn/
intimidated	/ɪnˈtɪmɪˌdeɪtɪd/
contortion	/kənˈtɔrʃən/
dissipation	/ˌdɪsɪˈpeɪʃən/
supported	/səˈpɔrtɪd/
explosively	/ɪkˈsploʊsɪvli/
sprayer	/ˈspreɪər/
made-for-tv	/ˌmeɪd fər ˈtiːˈviː/
yah	/jɑ/
toggle	/ˈtɑɡəl/
seared	/ˈsɪrd/
republican-controlled	/rɪˈpʌblɪkən kənˈtroʊld/
unvarnished	/ˌʌnˈvɑrnɪʃt/
boll	/boʊl/
gonorrhea	/ˌɡɑnəˈriːə/
catacomb	/ˈkætəˌkoʊm/
gravelly	/ˈɡrævəli/
solder	/ˈsɑdər/
unflappable	/ˌʌnˈflæpəbəl/
gold-plated	/ˈɡoʊldˈpleɪtɪd/
glorification	/ˌɡlɔrɪfɪˈkeɪʃən/
haltingly	/ˈhɔltɪŋli/
mamma	/ˈmɑmə/
threefold	/ˈθriːˌfoʊld/
curler	/ˈkɜrlər/
legitimation	/lɪˌdʒɪtɪˈmeɪʃən/
goth	/ɡɑθ/
lib	/lɪb/
demotion	/diˈmoʊʃən/
sadism	/ˈseɪdɪzəm/
sanctimonious	/ˌsæŋktɪˈmoʊniəs/
leggy	/ˈlɛɡi/
commode	/kəˈmoʊd/
split-level	/ˌsplɪtˈlɛvəl/
quorum	/ˈkwɔrəm/
whoops	/wuːps/
roadie	/ˈroʊdi/
ahem	/əˈhɛm/
gratin	/ˈɡrætən/
dominated	/ˈdɑməˌneɪtɪd/
lactation	/lækˈteɪʃən/
advertised	/ˈædvərˌtaɪzd/
stoicism	/ˈstoʊɪˌsɪzəm/
surreptitious	/ˌsɜrəpˈtɪʃəs/
us-backed	/ˌʌsˈbækt/
eighty-four	/ˈeɪtiˈfɔr/
mid-thirties	/ˌmɪdˈθɜrtiːz/
elongate	/iˈlɔŋˌɡeɪt/
dysentery	/ˈdɪsənˌtɛri/
trickle-down	/ˈtrɪkəlˌdaʊn/
magellanic	/ˌmædʒəˈlænɪk/
virility	/vɪˈrɪləti/
low-cut	/ˈloʊˈkʌt/
venting	/ˈvɛntɪŋ/
insolent	/ˈɪnsələnt/
set-top	/ˈsɛtˌtɑp/
long-legged	/ˈlɔŋˈlɛɡɪd/
apogee	/ˈæpəˌdʒiː/
deferment	/dɪˈfɜrmənt/
lasso	/ˈlæsoʊ/
pawnshop	/ˈpɔnˌʃɑp/
copulation	/ˌkɑpjəˈleɪʃən/
thundering	/ˈθʌndərɪŋ/
tapioca	/ˌtæpiˈoʊkə/
low-quality	/ˌloʊˈkwɑləti/
unseal	/ˌʌnˈsiːl/
one-person	/ˈwʌnˈpɜrsən/
two-mile	/ˈtuːˈmaɪl/
leather-bound	/ˈlɛðərˈbaʊnd/
off-load	/ˈɔfˈloʊd/
behaviorally	/bɪˈheɪvjərəli/
tremulous	/ˈtrɛmjələs/
folate	/ˈfoʊleɪt/
catchment	/ˈkætʃmənt/
tax-deductible	/ˈtæks dɪˈdʌktəbəl/
ingeniously	/ɪnˈdʒiːnjəsli/
hard-headed	/ˈhɑrdˈhɛdɪd/
backdoor	/ˈbækˌdɔr/
wreathe	/riːð/
drenched	/ˈdrɛntʃt/
icebreaker	/ˈaɪsˌbreɪkər/
toss-up	/ˈtɔsˌʌp/
acetate	/ˈæsəˌteɪt/
transvestite	/trænzˈvɛstaɪt/
baseless	/ˈbeɪsləs/
hermeneutical	/ˌhɜrməˈnuːtɪkəl/
headroom	/ˈhɛdˌruːm/
unadulterated	/ˌʌnəˈdʌltəˌreɪtɪd/
humanely	/hjuˈmeɪnli/
high-strung	/ˈhaɪˈstrʌŋ/
state-level	/ˈsteɪtˈlɛvəl/
sealant	/ˈsiːlənt/
thrush	/θrʌʃ/
peal	/piːl/
jester	/ˈdʒɛstər/
procrastinate	/proʊˈkræstɪˌneɪt/
knocker	/ˈnɑkər/
unclassified	/ˌʌnˈklæsəˌfaɪd/
breastbone	/ˈbrɛstˌboʊn/
jungian	/ˈjʊŋiən/
yarmulke	/ˈjɑrməlkə/
forceps	/ˈfɔrsɛps/
acetaminophen	/əˌsiːtəˈmɪnəfən/
grovel	/ˈɡrɑvəl/
hick	/hɪk/
attentional	/əˈtɛnʃənəl/
sleeplessness	/ˈsliːpləsnəs/
decimal	/ˈdɛsəməl/
zeppelin	/ˈzɛpəlɪn/
macroscopic	/ˌmækroʊˈskɑpɪk/
newsgroup	/ˈnuːzˌɡruːp/
prefigure	/priˈfɪɡjər/
spectrograph	/ˈspɛktrəˌɡræf/
constitutionalism	/ˌkɑnstɪˈtuːʃənəlɪzəm/
urination	/ˌjʊrɪˈneɪʃən/
godforsaken	/ˌɡɑd fərˈseɪkən/
hooked	/ˈhʊkt/
vasectomy	/væˈsɛktəmi/
swanky	/ˈswæŋki/
edwardian	/ˌɛdˈwɔrdiən/
cut-rate	/ˈkʌtˈreɪt/
beluga	/bəˈluːɡə/
pitted	/ˈpɪtɪd/
ninety-two	/ˈnaɪntiˈtuː/
delimit	/diˈlɪmɪt/
materiel	/məˌtɪriˈɛl/
dowel	/ˈdaʊəl/
filigree	/ˈfɪlɪˌɡriː/
free-floating	/ˌfriːˈfloʊtɪŋ/
rabble	/ˈræbəl/
vestment	/ˈvɛstmənt/
lascivious	/ləˈsɪviəs/
provocatively	/prəˈvɑkətɪvli/
unwillingly	/ˌʌnˈwɪlɪŋli/
historicism	/hɪˈstɔrɪˌsɪzəm/
urbanite	/ˈɜrbəˌnaɪt/
formless	/ˈfɔrmləs/
attractively	/əˈtræktɪvli/
american-led	/əˈmɛrɪkənˈlɛd/
hillock	/ˈhɪlək/
underdevelopment	/ˌʌndərdɪˈvɛləpmənt/
nonalcoholic	/ˌnɑnˌælkəˈhɑlɪk/
garden-variety	/ˈɡɑrdən vəˈraɪəti/
redfish	/ˈrɛdˌfɪʃ/
inquisition	/ˌɪnkwɪˈzɪʃən/
opossum	/əˈpɑsəm/
tincture	/ˈtɪŋktʃər/
do-gooder	/ˈduːˌɡʊdər/
inertial	/ɪˈnɜrʃəl/
four-part	/ˈfɔrˈpɑrt/
manhandle	/ˈmænˌhændəl/
glamorize	/ˈɡlæməˌraɪz/
intramural	/ˌɪntrəˈmjʊrəl/
floating-point	/ˈfloʊtɪŋˈpɔɪnt/
wisteria	/wɪˈstɪriə/
trophic	/ˈtroʊfɪk/
histologic	/ˌhɪstəˈlɑdʒɪk/
lowlife	/ˈloʊˌlaɪf/
mother-of-pearl	/ˈmʌðər əv ˈpɜrl/
stratagem	/ˈstrætədʒəm/
alphabetically	/ˌælfəˈbɛtɪkli/
free-range	/ˌfriːˈreɪndʒ/
vitriol	/ˈvɪtriəl/
aquamarine	/ˌækwəməˈriːn/
hatchback	/ˈhætʃˌbæk/
groomed	/ˈɡruːmd/
postscript	/ˈpoʊstˌskrɪpt/
paraffin	/ˈpærəfɪn/
nimbly	/ˈnɪmbli/
reedy	/ˈriːdi/
fulfilled	/fʊlˈfɪld/
testicular	/tɛˈstɪkjələr/
small-group	/ˈsmɔlˈɡruːp/
fallible	/ˈfæləbəl/
compote	/ˈkɑmpoʊt/
state-controlled	/ˈsteɪt kənˈtroʊld/
barrette	/bəˈrɛt/
gemstone	/ˈdʒɛmˌstoʊn/
mignon	/mɪnˈjɑn/
nerve-racking	/ˈnɜrvˌrækɪŋ/
colorist	/ˈkʌlərɪst/
internecine	/ˌɪntərˈniːˌsaɪn/
miscarry	/ˌmɪsˈkæri/
shush	/ʃʊʃ/
scree	/skriː/
timelessness	/ˈtaɪmləsnəs/
gut-wrenching	/ˈɡʌtˌrɛntʃɪŋ/
mindfulness	/ˈmaɪndfəlnəs/
rewire	/ˌriːˈwaɪər/
diastolic	/ˌdaɪəˈstɑlɪk/
radicchio	/rəˈdiːkioʊ/
trailblazer	/ˈtreɪlˌbleɪzər/
four-foot	/ˈfɔrˈfʊt/
encoder	/ɛnˈkoʊdər/
synod	/ˈsɪnəd/
bighorn	/ˈbɪɡˌhɔrn/
standards-based	/ˈstændərdzˈbeɪst/
pre-med	/ˈpriːˈmɛd/
instigator	/ˈɪnstɪˌɡeɪtər/
nigh	/naɪ/
sundress	/ˈsʌnˌdrɛs/
floret	/ˈflɔrɪt/
