the	["the"]
vid	["'vid"]
sago	["'sa", "go"]
gabled	["'ga", "bled"]
handspring	["'hand", "spring"]
voluble	["'vol", "u", "ble"]
mastodon	["'mas", "to", "don"]
conflictual	["con", "'flict", "u", "al"]
mutely	["'mute", "ly"]
destructiveness	["de", "'struc", "tive", "ness"]
maniacally	["ma", "'ni", "a", "cal", "ly"]
foreign-language	["'for", "eign", "lan", "guage"]
reducible	["re", "'du", "ci", "ble"]
in-vitro	["in", "'vi", "tro"]
concertina	["con", "cer", "'ti", "na"]
special-education	["'spe", "cial", "ed", "u", "'ca", "tion"]
greenhouse-gas	["'green", "house", "gas"]
storyboard	["'sto", "ry", "board"]
ranting	["'rant", "ing"]
basketry	["'bas", "ket", "ry"]
bleakly	["'bleak", "ly"]
hightail	["'high", "tail"]
tracheotomy	["tra", "che", "'ot", "o", "my"]
energy-intensive	["'en", "er", "gy", "in", "'ten", "sive"]
improviser	["'im", "pro", "vis", "er"]
semi-darkness	["'sem", "i", "'dark", "ness"]
uncouth	["un", "'couth"]
polyglot	["'pol", "y", "glot"]
curtailment	["cur", "'tail", "ment"]
liveliness	["'live", "ly", "ness"]
malevolence	["ma", "'lev", "o", "lence"]
estimator	["'es", "ti", "ma", "tor"]
eschatology	["es", "cha", "'tol", "o", "gy"]
consecutively	["con", "'sec", "u", "tive", "ly"]
up-close	["'up", "close"]
tortellini	["tor", "tel", "'li", "ni"]
rule-making	["'rule", "mak", "ing"]
infuriated	["in", "'fu", "ri", "at", "ed"]
appendicitis	["ap", "pen", "di", "'ci", "tis"]
open-door	["'o", "pen", "door"]
reflectively	["re", "'flec", "tive", "ly"]
unapologetically	["un", "a", "pol", "o", "'get", "i", "cal", "ly"]
geometrically	["ge", "o", "met", "'ri", "cal", "ly"]
morrow	["'mor", "row"]
dismembered	["dis", "'mem", "bered"]
zooplankton	["'zo", "o", "plank", "ton"]
stickiness	["'stick", "i", "ness"]
venal	["'ve", "nal"]
gullet	["'gul", "let"]
snoring	["'snor", "ing"]
upper-middle	["'up", "per", "'mid", "dle"]
state-mandated	["'state", "man", "dat", "ed"]
nullification	["nul", "li", "fi", "'ca", "tion"]
brioche	["bri", "'oche"]
profit-sharing	["'prof", "it", "shar", "ing"]
sanatorium	["san", "a", "'tor", "i", "um"]
kowtow	["'kow", "tow"]
hi-fi	["'hi", "fi"]
apostasy	["a", "'pos", "ta", "sy"]
cad	["'cad"]
fall-off	["'fall", "off"]
self-hatred	["'self", "hat", "red"]
employable	["em", "'ploy", "a", "ble"]
frittata	["fri", "'ta", "ta"]
out-of-work	["'out", "of", "work"]
ninety-seven	["'nine", "ty", "sev", "en"]
seven-member	["'sev", "en", "mem", "ber"]
snake-like	["'snake", "like"]
stepbrother	["'step", "broth", "er"]
flushing	["'flush", "ing"]
bullion	["'bull", "ion"]
stockyard	["'stock", "yard"]
purposive	["'pur", "po", "sive"]
hybridity	["hy", "'brid", "i", "ty"]
carbonated	["'car", "bon", "at", "ed"]
twisty	["'twist", "y"]
unchangeable	["un", "chan", "'gea", "ble"]
raking	["'rak", "ing"]
pec	["'pec"]
transfiguration	["trans", "fig", "u", "'ra", "tion"]
unrepresentative	["un", "rep", "re", "'zen", "ta", "tive"]
palpably	["'pal", "pa", "bly"]
unglued	["un", "'glued"]
radiographic	["ra", "di", "o", "'graph", "ic"]
cross-eyed	["'cross", "eyed"]
peaceably	["'peace", "a", "bly"]
madhouse	["'mad", "house"]
gallantly	["'gal", "lant", "ly"]
nurturer	["'nur", "tur", "er"]
tripling	["'trip", "ling"]
francophone	["'fran", "co", "phone"]
disdainfully	["dis", "'dain", "ful", "ly"]
sophisticate	["so", "'phis", "ti", "cate"]
dinnerware	["'din", "ner", "ware"]
favourable	["'fav", "our", "a", "ble"]
satiny	["'sat", "in", "y"]
boggy	["'bog", "gy"]
flyway	["'fly", "way"]
near-fatal	["'near", "fa", "tal"]
chancery	["'chan", "cer", "y"]
simplifying	["'sim", "pli", "fy", "ing"]
hypoxia	["hy", "'pox", "i", "a"]
partying	["'par", "ty", "ing"]
gearing	["'gear", "ing"]
mind-blowing	["'mind", "blow", "ing"]
non-state	["'non", "state"]
interest-free	["'in", "ter", "est", "free"]
teacher-student	["'teach", "er", "'stu", "dent"]
ignoble	["ig", "'no", "ble"]
elapsed	["e", "'lapsed"]
habituate	["ha", "'bit", "u", "ate"]
toning	["'ton", "ing"]
atavistic	["at", "a", "'vis", "tic"]
shill	["'shill"]
histology	["his", "'tol", "o", "gy"]
season-high	["'sea", "son", "high"]
low-maintenance	["'low", "'main", "te", "nance"]
low-growing	["'low", "grow", "ing"]
extender	["ex", "'tend", "er"]
modernized	["'mod", "ern", "ized"]
hailstorm	["'hail", "storm"]
travelling	["'trav", "el", "ing"]
frankincense	["'frank", "in", "cense"]
otorrhea	["o", "to", "'rhea"]
halcyon	["'hal", "cy", "on"]
balanced-budget	["'bal", "anced", "'budg", "et"]
adder	["'ad", "der"]
cantonese	["can", "to", "'nese"]
gramophone	["'gram", "o", "phone"]
ding	["'ding"]
modeled	["'mod", "eled"]
six-time	["'six", "time"]
rezoning	["re", "'zon", "ing"]
canna	["'can", "na"]
four-course	["'four", "course"]
exploiter	["ex", "'ploit", "er"]
forward-thinking	["'for", "ward", "think", "ing"]
myelin	["'my", "e", "lin"]
debonair	["deb", "o", "'nair"]
bluesman	["'blues", "man"]
repurchase	["re", "'pur", "chase"]
nine-thirty	["'nine", "thir", "ty"]
ringed	["'ringed"]
hand-drawn	["'hand", "drawn"]
double-sided	["'dou", "ble", "sid", "ed"]
prattle	["'prat", "tle"]
diurnal	["di", "'ur", "nal"]
frontage	["'fron", "tage"]
auntie	["'aun", "tie"]
vernal	["'ver", "nal"]
bigness	["'big", "ness"]
reefer	["'ree", "fer"]
stoner	["'ston", "er"]
accursed	["a", "'cur", "sed"]
crystallization	["crys", "tal", "li", "'za", "tion"]
recessionary	["re", "'ces", "sion", "ar", "y"]
seagoing	["'sea", "go", "ing"]
acme	["'ac", "me"]
agonized	["'ag", "o", "nized"]
chlorination	["chlor", "i", "'na", "tion"]
narrowed	["'nar", "rowed"]
science-based	["'sci", "ence", "based"]
house-made	["'house", "made"]
daresay	["'dare", "say"]
cold-war	["'cold", "war"]
hand-lettered	["'hand", "let", "tered"]
urethra	["u", "'re", "thra"]
dust-up	["'dust", "up"]
suppressor	["sup", "'press", "or"]
refundable	["re", "'fund", "a", "ble"]
bruschetta	["bru", "'schet", "ta"]
baroness	["'bar", "o", "ness"]
homoerotic	["ho", "mo", "e", "'rot", "ic"]
multi-million	["'mul", "ti", "'mil", "lion"]
sweet-smelling	["'sweet", "smell", "ing"]
ficus	["'fi", "cus"]
noncompliant	["non", "com", "'pli", "ant"]
up-tempo	["'up", "tem", "po"]
delphinium	["del", "'phin", "i", "um"]
feminization	["fem", "i", "ni", "'za", "tion"]
fetishism	["'fet", "ish", "ism"]
jell	["'jell"]
mesopotamian	["mes", "o", "po", "'ta", "mi", "an"]
matrilineal	["mat", "ri", "'lin", "e", "al"]
malian	["'ma", "li", "an"]
demurely	["de", "'mure", "ly"]
stilted	["'stil", "ted"]
farmed	["'farmed"]
immunological	["im", "mu", "no", "'log", "i", "cal"]
composing	["com", "'pos", "ing"]
nuptial	["'nup", "tial"]
brainpower	["'brain", "pow", "er"]
synchronicity	["syn", "chro", "'nic", "i", "ty"]
curvaceous	["cur", "'va", "cious"]
retardant	["re", "'tar", "dant"]
repo	["'re", "po"]
flippant	["'flip", "pant"]
netherworld	["'neth", "er", "world"]
yes/no	["'yes", "no"]
luxuriously	["lux", "'u", "ri", "ous", "ly"]
trenchant	["'tren", "chant"]
two-word	["'two", "word"]
breadbasket	["'bread", "bas", "ket"]
centenarian	["cen", "ten", "'ar", "i", "an"]
shivering	["'shiv", "er", "ing"]
twenty-year	["'twen", "ty", "year"]
immodest	["im", "'mod", "est"]
jaw-dropping	["'jaw", "drop", "ping"]
butterscotch	["'but", "ter", "scotch"]
amethyst	["'am", "e", "thyst"]
paroxysm	["'par", "ox", "ysm"]
lugubrious	["lu", "'gu", "bri", "ous"]
plunging	["'plung", "ing"]
repartee	["re", "par", "'tee"]
ingratiating	["in", "'gra", "ti", "at", "ing"]
rookery	["'rook", "er", "y"]
psychoactive	["psy", "cho", "'ac", "tive"]
focalization	["fo", "cal", "i", "'za", "tion"]
disabuse	["dis", "a", "'buse"]
lemongrass	["'lem", "on", "grass"]
gnash	["'gnash"]
prettily	["'pret", "ti", "ly"]
non-sectarian	["non", "sec", "'tar", "i", "an"]
depressingly	["de", "'press", "ing", "ly"]
creche	["'creche"]
exultant	["ex", "'ul", "tant"]
laughingstock	["'laugh", "ing", "stock"]
breastplate	["'breast", "plate"]
early-stage	["'ear", "ly", "stage"]
refueling	["re", "'fu", "el", "ing"]
fife	["'fife"]
pigmentation	["pig", "men", "'ta", "tion"]
bedpan	["'bed", "pan"]
crybaby	["'cry", "ba", "by"]
domicile	["'dom", "i", "cile"]
slaveholder	["'slave", "hold", "er"]
callused	["'cal", "lused"]
bonobo	["bo", "'no", "bo"]
two-game	["'two", "game"]
age-specific	["'age", "spe", "'cif", "ic"]
breakwater	["'break", "wa", "ter"]
coolie	["'coo", "lie"]
chummy	["'chum", "my"]
spitfire	["'spit", "fire"]
typhoid	["'ty", "phoid"]
scolding	["'scold", "ing"]
favour	["'fav", "our"]
incognito	["in", "cog", "'ni", "to"]
grandmama	["'grand", "ma", "ma"]
chit	["'chit"]
astrophotography	["as", "tro", "pho", "'tog", "ra", "phy"]
approbation	["ap", "pro", "'ba", "tion"]
burgher	["'burg", "her"]
admixture	["ad", "'mix", "ture"]
silicate	["'sil", "i", "cate"]
knucklehead	["'knuck", "le", "head"]
disarmingly	["dis", "arm", "'ing", "ly"]
well-chosen	["'well", "cho", "sen"]
camouflaged	["'cam", "ou", "flaged"]
octagon	["'oc", "ta", "gon"]
burgeon	["'bur", "geon"]
third-down	["'third", "down"]
burg	["'burg"]
persecutor	["'per", "se", "cu", "tor"]
lace-up	["'lace", "up"]
chicory	["'chic", "o", "ry"]
propulsive	["pro", "'pul", "sive"]
refinancing	["re", "fi", "'nan", "cing"]
duffle	["'duf", "fle"]
masochistic	["mas", "o", "'chis", "tic"]
inundation	["in", "un", "'da", "tion"]
high-priority	["'high", "pri", "'or", "i", "ty"]
hard-charging	["'hard", "char", "ging"]
curlicue	["'cur", "li", "cue"]
catch-all	["'catch", "all"]
monoculture	["'mon", "o", "cul", "ture"]
explaining	["ex", "'plain", "ing"]
uninspiring	["un", "in", "'spir", "ing"]
filbert	["'fil", "bert"]
voice-over	["'voice", "o", "ver"]
zodiacal	["zo", "'di", "a", "cal"]
sunburst	["'sun", "burst"]
flowerpot	["'flow", "er", "pot"]
orchestrated	["'or", "ches", "trat", "ed"]
undulation	["un", "du", "'la", "tion"]
ashy	["'ash", "y"]
mustachioed	["mus", "'ta", "chioed"]
high-dose	["'high", "dose"]
service-learning	["'ser", "vice", "'learn", "ing"]
bobble	["'bob", "ble"]
prion	["'pri", "on"]
criminal-justice	["'crim", "i", "nal", "'jus", "tice"]
wraith	["'wraith"]
photonic	["pho", "'ton", "ic"]
warhorse	["'war", "horse"]
pergola	["'per", "go", "la"]
survivability	["sur", "viv", "a", "'bil", "i", "ty"]
dragoon	["dra", "'goon"]
tiredly	["'tir", "ed", "ly"]
astutely	["as", "'tute", "ly"]
windstorm	["'wind", "storm"]
semi-autonomous	["'sem", "i", "au", "'ton", "o", "mous"]
sheet-metal	["'sheet", "met", "al"]
headwind	["'head", "wind"]
nonsteroidal	["non", "ster", "'oid", "al"]
fledge	["'fledge"]
chronometer	["chro", "'nom", "e", "ter"]
astern	["a", "'stern"]
lionize	["'li", "on", "ize"]
warrantless	["'war", "rant", "less"]
energy-efficiency	["'en", "er", "gy", "ef", "'fi", "cien", "cy"]
pharisee	["'phar", "i", "see"]
white-water	["'white", "wa", "ter"]
urethane	["'u", "re", "thane"]
telomere	["'tel", "o", "mere"]
witticism	["'wit", "ti", "cism"]
flogging	["'flog", "ging"]
epistolary	["e", "pis", "'tol", "ar", "y"]
hemophilia	["he", "mo", "'phil", "i", "a"]
unmolested	["un", "mo", "'lest", "ed"]
intubation	["in", "tu", "'ba", "tion"]
vellum	["'vel", "lum"]
marist	["'mar", "ist"]
loquacious	["lo", "'qua", "cious"]
calabash	["'cal", "a", "bash"]
icky	["'ick", "y"]
permissiveness	["per", "'mis", "sive", "ness"]
drinking-water	["'drink", "ing", "wa", "ter"]
countywide	["'coun", "ty", "wide"]
best-looking	["'best", "look", "ing"]
swearing-in	["'swear", "ing", "in"]
garbanzo	["gar", "'ban", "zo"]
year-and-a-half	["'year", "and", "a", "half"]
branchial	["'bran", "chi", "al"]
malagasy	["mal", "a", "'gas", "y"]
exported	["ex", "'port", "ed"]
batik	["'ba", "tik"]
pe	["'pe"]
mortification	["mor", "ti", "fi", "'ca", "tion"]
hessian	["'hess", "i", "an"]
aww	["'aww"]
devilishly	["'dev", "il", "ish", "ly"]
senility	["se", "'nil", "i", "ty"]
gamesmanship	["'games", "man", "ship"]
farmyard	["'farm", "yard"]
cross-reference	["'cross", "ref", "er", "ence"]
mucky	["'muck", "y"]
despondency	["de", "'spon", "den", "cy"]
untrammeled	["un", "'tram", "meled"]
diamond-shaped	["'di", "a", "mond", "shaped"]
gnostic	["'nos", "tic"]
obstinacy	["'ob", "sti", "na", "cy"]
negligee	["'neg", "li", "gee"]
pulsed	["'pulsed"]
roust	["'roust"]
re-educate	["re", "'ed", "u", "cate"]
watercourse	["'wa", "ter", "course"]
non-intervention	["non", "in", "ter", "'ven", "tion"]
plowed	["plowed"]
unwell	["un", "well"]
reverential	["re", "ve", "'ren", "tial"]
microgravity	["mi", "cro", "'grav", "i", "ty"]
punjabi	["pun", "'ja", "bi"]
bondsman	["'bonds", "man"]
iceman	["'ice", "man"]
fifth-year	["'fifth", "year"]
anti-doping	["'an", "ti", "'do", "ping"]
lat	["lat"]
stereotypically	["ste", "re", "o", "'typ", "i", "cal", "ly"]
animatedly	["'an", "i", "mat", "ed", "ly"]
cherubic	["che", "'ru", "bic"]
stargazer	["'star", "ga", "zer"]
belfry	["'bel", "fry"]
self-regulated	["self", "'reg", "u", "lat", "ed"]
dustbin	["'dust", "bin"]
gallstone	["'gall", "stone"]
structuralism	["'struc", "tur", "al", "ism"]
corded	["'cord", "ed"]
viscerally	["'vis", "cer", "al", "ly"]
preternatural	["pre", "ter", "'nat", "u", "ral"]
mutated	["'mu", "tat", "ed"]
organza	["or", "'gan", "za"]
co-production	["co", "pro", "'duc", "tion"]
roadbed	["'road", "bed"]
job-training	["'job", "'train", "ing"]
propositional	["prop", "o", "'si", "tion", "al"]
non-local	["non", "'lo", "cal"]
impactor	["im", "'pac", "tor"]
unbelief	["un", "be", "'lief"]
estuarine	["'es", "tu", "ar", "ine"]
second-grader	["'sec", "ond", "'grad", "er"]
strudel	["'stru", "del"]
instigation	["in", "sti", "'ga", "tion"]
composter	["com", "'post", "er"]
impudent	["'im", "pu", "dent"]
appallingly	["ap", "'pall", "ing", "ly"]
painlessly	["'pain", "less", "ly"]
trusteeship	["trus", "tee", "'ship"]
overcrowding	["o", "ver", "'crowd", "ing"]
twice-weekly	["'twice", "'week", "ly"]
state-supported	["'state", "sup", "'port", "ed"]
symmetrically	["si", "'met", "ri", "cal", "ly"]
ephedra	["e", "'phed", "ra"]
self-rating	["self", "'rat", "ing"]
hegelian	["he", "'ge", "li", "an"]
examined	["ex", "'am", "ined"]
kidnapped	["'kid", "napped"]
tiff	["tiff"]
sugared	["'sug", "ared"]
aspartame	["as", "'par", "tame"]
tempered	["'tem", "pered"]
experimentalist	["ex", "per", "i", "'men", "tal", "ist"]
dryland	["'dry", "land"]
glinting	["'glint", "ing"]
daintily	["'dain", "ti", "ly"]
nostalgically	["nos", "'tal", "gi", "cal", "ly"]
zine	["zine"]
phobic	["'pho", "bic"]
reapportionment	["re", "ap", "'por", "tion", "ment"]
gunsmith	["'gun", "smith"]
wristband	["'wrist", "band"]
cliched	["cli", "'ched"]
archenemy	["'arch", "'en", "e", "my"]
bongo	["'bon", "go"]
summery	["'sum", "mer", "y"]
boomtown	["'boom", "town"]
girly	["'gir", "ly"]
low-rise	["'low", "rise"]
field-based	["'field", "based"]
non-custodial	["non", "cus", "'to", "di", "al"]
passive-aggressive	["'pas", "sive", "ag", "'gres", "sive"]
next-to-last	["'next", "to", "'last"]
come-from-behind	["'come", "from", "be", "'hind"]
wailing	["'wail", "ing"]
sandblast	["'sand", "blast"]
gab	["gab"]
unburden	["un", "'bur", "den"]
modulator	["'mod", "u", "la", "tor"]
near-infrared	["'near", "in", "fra", "'red"]
waypoint	["'way", "point"]
mayfly	["'may", "fly"]
guidepost	["'guide", "post"]
tendentious	["ten", "'den", "tious"]
lateness	["'late", "ness"]
advisement	["ad", "'vise", "ment"]
offsetting	["off", "'set", "ting"]
roofline	["'roof", "line"]
tackling	["'tack", "ling"]
ungulate	["'un", "gu", "late"]
good-humored	["good", "'hu", "mored"]
flathead	["'flat", "head"]
marquis	["mar", "'quis"]
unprincipled	["un", "'prin", "ci", "pled"]
brainless	["'brain", "less"]
galleon	["'gal", "le", "on"]
worriedly	["'wor", "ried", "ly"]
highlighting	["'high", "light", "ing"]
object-oriented	["'ob", "ject", "'o", "ri", "ent", "ed"]
laze	["laze"]
anti-crime	["'an", "ti", "'crime"]
slobber	["'slob", "ber"]
projective	["pro", "'jec", "tive"]
remit	["re", "'mit"]
self-importance	["self", "im", "'por", "tance"]
concisely	["con", "'cise", "ly"]
switchblade	["'switch", "blade"]
mohair	["'mo", "hair"]
heartbreaker	["'heart", "break", "er"]
matronly	["'ma", "tron", "ly"]
cross-disciplinary	["cross", "'dis", "ci", "pli", "nar", "y"]
oft-repeated	["'oft", "re", "'peat", "ed"]
hypersensitivity	["hy", "per", "sen", "si", "'tiv", "i", "ty"]
neutrally	["'neu", "tral", "ly"]
remorseless	["re", "'morse", "less"]
underarm	["'un", "der", "arm"]
synchrony	["'syn", "chro", "ny"]
teepee	["'tee", "pee"]
unaffordable	["un", "af", "'ford", "a", "ble"]
six-inch	["'six", "inch"]
unrecorded	["un", "re", "'cord", "ed"]
salvaged	["'sal", "vaged"]
clothier	["'clo", "thi", "er"]
higher-education	["'high", "er", "ed", "u", "'ca", "tion"]
arbitrate	["'ar", "bi", "trate"]
standard-issue	["'stan", "dard", "'is", "sue"]
unawares	["un", "a", "'wares"]
unbend	["un", "'bend"]
prognosticator	["prog", "nos", "'ti", "ca", "tor"]
crimean	["cri", "'me", "an"]
clunk	["clunk"]
housecoat	["'house", "coat"]
stagehand	["'stage", "hand"]
rootless	["'root", "less"]
separable	["'sep", "a", "ra", "ble"]
movingly	["'mov", "ing", "ly"]
matriculate	["ma", "'tric", "u", "late"]
noiselessly	["'noise", "less", "ly"]
barrow	["'bar", "row"]
german-speaking	["'ger", "man", "'speak", "ing"]
well-paying	["'well", "'pay", "ing"]
glycogen	["'gly", "co", "gen"]
forecasting	["'fore", "cast", "ing"]
homeostasis	["ho", "me", "o", "'sta", "sis"]
copse	["copse"]
panzer	["'pan", "zer"]
breadfruit	["'bread", "fruit"]
unlearn	["un", "'learn"]
bonk	["bonk"]
whodunit	["who", "'dun", "it"]
rhinitis	["ri", "'ni", "tis"]
expat	["'ex", "pat"]
compressive	["com", "'pres", "sive"]
up-and-comer	["'up", "and", "'com", "er"]
co-optation	["co", "op", "'ta", "tion"]
hybridize	["'hy", "brid", "ize"]
revaluation	["re", "val", "u", "'a", "tion"]
belted	["'belt", "ed"]
dynamical	["dy", "'nam", "i", "cal"]
sass	["sass"]
xylophone	["'xy", "lo", "phone"]
phenol	["'phe", "nol"]
hypersonic	["hy", "per", "'son", "ic"]
maximally	["'max", "i", "mal", "ly"]
teary-eyed	["'tear", "y", "'eyed"]
simulcast	["'si", "mul", "cast"]
beanbag	["'bean", "bag"]
determinative	["de", "ter", "'min", "a", "tive"]
especial	["e", "'spe", "cial"]
besmirch	["be", "'smirch"]
ticklish	["'tick", "lish"]
woodpile	["'wood", "pile"]
unseeing	["un", "'see", "ing"]
bug-eyed	["'bug", "'eyed"]
ripeness	["'ripe", "ness"]
ironical	["i", "'ron", "i", "cal"]
night-light	["'night", "light"]
ho-hum	["'ho", "hum"]
sidecut	["'side", "cut"]
moneyed	["'mon", "eyed"]
us-russian	["'us", "'rus", "sian"]
marcel	["mar", "'cel"]
frigging	["'frig", "ging"]
ach	["ach"]
nib	["nib"]
worldliness	["'world", "li", "ness"]
overproduction	["o", "ver", "pro", "'duc", "tion"]
grumbling	["'grum", "bling"]
affecting	["af", "'fect", "ing"]
laudatory	["'lau", "da", "tor", "y"]
smut	["smut"]
yarrow	["'yar", "row"]
billows	["'bil", "lows"]
dungaree	["dung", "a", "'ree"]
forty-year-old	["'for", "ty", "'year", "'old"]
civilly	["'civ", "il", "ly"]
home-improvement	["'home", "im", "'prove", "ment"]
puritan	["'pu", "ri", "tan"]
curriculum-based	["cur", "'ric", "u", "lum", "based"]
procreative	["'pro", "cre", "a", "tive"]
geostrategic	["ge", "o", "stra", "'te", "gic"]
money-laundering	["'mon", "ey", "'laun", "der", "ing"]
tripe	["tripe"]
on-the-spot	["'on", "the", "'spot"]
gentamicin	["gen", "ta", "'mi", "cin"]
brushing	["'brush", "ing"]
fictionalize	["fic", "'tion", "al", "ize"]
gaff	["gaff"]
titillation	["tit", "il", "'la", "tion"]
virtual-reality	["'vir", "tu", "al", "re", "'al", "i", "ty"]
well-thought-out	["'well", "'thought", "'out"]
starry-eyed	["'star", "ry", "'eyed"]
pint-sized	["'pint", "sized"]
knighthood	["'knight", "hood"]
one-act	["'one", "act"]
unweighted	["un", "'weight", "ed"]
boorish	["'boor", "ish"]
stiffened	["'stiff", "ened"]
degrading	["de", "'grad", "ing"]
basmati	["bas", "'ma", "ti"]
decamp	["de", "'camp"]
intersecting	["in", "ter", "'sect", "ing"]
complainer	["com", "'plain", "er"]
weigh-in	["'weigh", "in"]
life-or-death	["'life", "or", "'death"]
effete	["e", "'fete"]
edify	["'ed", "i", "fy"]
deadbolt	["'dead", "bolt"]
child-centered	["'child", "'cen", "tered"]
high-growth	["'high", "growth"]
self-fulfillment	["self", "ful", "'fill", "ment"]
anomie	["'an", "o", "mie"]
self-explanatory	["self", "ex", "'plan", "a", "tor", "y"]
seducer	["se", "'duc", "er"]
thrum	["thrum"]
dermatitis	["der", "ma", "'ti", "tis"]
immunoglobulin	["im", "mu", "no", "'glob", "u", "lin"]
cassock	["'cas", "sock"]
threateningly	["'thret", "en", "ing", "ly"]
non-smoking	["non", "'smo", "king"]
backslide	["'back", "slide"]
silencing	["'si", "lenc", "ing"]
watercolorist	["'wa", "ter", "'col", "or", "ist"]
concomitantly	["con", "'com", "i", "tant", "ly"]
datum	["'da", "tum"]
augustinian	["au", "gus", "'tin", "i", "an"]
sisal	["'si", "sal"]
underpass	["'un", "der", "pass"]
squiggly	["'squig", "gly"]
leveling	["'lev", "el", "ing"]
diskette	["dis", "'kette"]
ten-foot	["'ten", "foot"]
impala	["im", "'pa", "la"]
verbena	["ver", "'be", "na"]
do-it-yourselfer	["'do", "it", "your", "'self", "er"]
contusion	["con", "'tu", "sion"]
off-peak	["'off", "peak"]
flared	["flared"]
migrating	["'mi", "grat", "ing"]
bebop	["'be", "bop"]
suboptimal	["sub", "'op", "ti", "mal"]
mosey	["'mo", "sey"]
motoring	["'mo", "tor", "ing"]
torsional	["'tor", "sion", "al"]
honeydew	["'hon", "ey", "dew"]
cohere	["co", "'here"]
microsecond	["'mi", "cro", "sec", "ond"]
broad-spectrum	["'broad", "'spec", "trum"]
premenstrual	["pre", "'men", "stru", "al"]
tankard	["'tan", "kard"]
flatbread	["'flat", "bread"]
superwoman	["'su", "per", "'wo", "man"]
expository	["ex", "'pos", "i", "tor", "y"]
witnessing	["'wit", "ness", "ing"]
precession	["pre", "'ces", "sion"]
first-term	["'first", "term"]
city-owned	["'cit", "y", "'owned"]
outplay	["'out", "play"]
meteoroid	["'me", "te", "or", "oid"]
glyph	["glyph"]
demonization	["de", "mon", "i", "'za", "tion"]
crispness	["'crisp", "ness"]
german-american	["'ger", "man", "a", "'mer", "i", "can"]
out-of-court	["'out", "of", "'court"]
alkali	["'al", "ka", "li"]
motorcar	["'mo", "tor", "car"]
bluefin	["'blue", "fin"]
forcing	["'forc", "ing"]
pictograph	["'pic", "to", "graph"]
narratological	["nar", "ra", "to", "'lo", "gi", "cal"]
cost-saving	["'cost", "'sav", "ing"]
transfigure	["trans", "'fig", "ure"]
landmine	["'land", "mine"]
seersucker	["'seer", "suck", "er"]
probity	["'pro", "bi", "ty"]
raceway	["'race", "way"]
humbled	["'hum", "bled"]
carouse	["ca", "'rouse"]
filmed	["filmed"]
marriageable	["'mar", "riage", "a", "ble"]
premeditation	["pre", "med", "i", "'ta", "tion"]
volcanism	["'vol", "ca", "nism"]
oil-for-food	["'oil", "for", "'food"]
grade-level	["'grade", "'lev", "el"]
dissonant	["'dis", "so", "nant"]
westernmost	["'west", "ern", "most"]
acquisitive	["ac", "'quis", "i", "tive"]
free-speech	["'free", "speech"]
dumpy	["'dum", "py"]
baby-boom	["'ba", "by", "boom"]
ump	["ump"]
potshot	["'pot", "shot"]
kava	["'ka", "va"]
azimuth	["'az", "i", "muth"]
mutable	["'mu", "ta", "ble"]
sharp-eyed	["'sharp", "'eyed"]
furtherance	["'fur", "ther", "ance"]
empiricist	["em", "'pir", "i", "cist"]
anti-castro	["'an", "ti", "'cas", "tro"]
weepy	["'wee", "py"]
thermals	["'ther", "mals"]
talmudic	["tal", "'mu", "dic"]
long-gone	["'long", "gone"]
forestland	["'for", "est", "land"]
flat-footed	["'flat", "'foot", "ed"]
harlot	["'har", "lot"]
councillor	["'coun", "cil", "lor"]
drug-induced	["'drug", "in", "'duced"]
season-opening	["'sea", "son", "'o", "pen", "ing"]
soundstage	["'sound", "stage"]
diuretic	["di", "u", "'ret", "ic"]
chancy	["'chan", "cy"]
exoticism	["ex", "'ot", "i", "cism"]
slovenian	["slo", "'ve", "ni", "an"]
namibian	["na", "'mi", "bi", "an"]
overused	["o", "ver", "'used"]
number-two	["'num", "ber", "'two"]
off-label	["'off", "'la", "bel"]
devastatingly	["'dev", "a", "stat", "ing", "ly"]
condescend	["con", "de", "'scend"]
make-or-break	["'make", "or", "'break"]
high-capacity	["'high", "ca", "'pac", "i", "ty"]
passenger-side	["'pas", "sen", "ger", "'side"]
first-name	["'first", "name"]
pinecone	["'pine", "cone"]
poultice	["'poul", "tice"]
corporatism	["'cor", "por", "a", "tism"]
quickening	["'quick", "en", "ing"]
soft-drink	["'soft", "'drink"]
deafen	["'deaf", "en"]
suppertime	["'sup", "per", "time"]
six-month-old	["'six", "'month", "'old"]
tithe	["tithe"]
biggie	["'big", "gie"]
sure-footed	["'sure", "'foot", "ed"]
stepladder	["'step", "lad", "der"]
flatulence	["'flat", "u", "lence"]
erector	["e", "'rec", "tor"]
nativism	["'na", "tiv", "ism"]
bruiser	["'bruis", "er"]
workgroup	["'work", "group"]
punchline	["'punch", "line"]
psychoeducational	["psy", "cho", "ed", "u", "'ca", "tion", "al"]
fourths	["fourths"]
self-care	["self", "'care"]
resistor	["re", "'zis", "tor"]
beignet	["ben", "'yay"]
imperiled	["im", "'per", "iled"]
urology	["u", "'rol", "o", "gy"]
dropper	["'drop", "per"]
dengue	["'den", "gue"]
community-wide	["com", "'mu", "ni", "ty", "'wide"]
autoworker	["'au", "to", "work", "er"]
hopefulness	["'hope", "ful", "ness"]
nursemaid	["'nurse", "maid"]
conversationalist	["con", "ver", "sa", "'tion", "al", "ist"]
quartermaster	["'quar", "ter", "mas", "ter"]
